id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated
123039633,20140909T000000,359950,3,1.75,1570,6975,1,0,0,3,7,1040,530,1979,0
1233100710,20150416T000000,909950,5,3.75,3050,8972,2,0,0,3,9,3050,0,2014,0
5151600360,20150130T000000,318000,3,1.75,1570,12506,1,0,0,4,8,1570,0,1959,0
2868300061,20140918T000000,272000,4,1.75,1390,10660,1,0,0,4,7,1030,360,1960,0
7853302520,20150206T000000,475000,4,2.5,2320,10046,2,0,0,3,7,2320,0,2006,0
4217400420,20141124T000000,907000,3,1.5,1340,6000,1.5,0,1,3,9,1340,0,1927,0
3210200395,20140822T000000,279900,3,1,1280,12928,1.5,0,0,3,6,1280,0,1942,0
7843500090,20140822T000000,299500,4,2.5,2010,12085,2,0,0,3,8,2010,0,1986,0
9274204230,20140709T000000,410000,3,1.75,1660,6250,1,0,0,3,7,830,830,1980,0
3303860460,20150415T000000,499000,4,2.5,3100,5700,2,0,0,3,9,3100,0,2011,0
7853210050,20140707T000000,339000,3,2.5,1450,3748,2,0,0,3,7,1450,0,2004,0
3732800525,20140709T000000,3.00E+05,4,1.75,1820,5015,1,0,0,4,6,1190,630,1926,0
4249000230,20140829T000000,766000,3,2.5,2270,9822,2,0,0,3,9,2270,0,1988,0
5561401260,20141014T000000,508000,4,2.25,3320,53392,2,0,0,4,8,2000,1320,1986,0
4077800593,20140915T000000,355000,3,1,1360,8968,1,0,0,3,7,1360,0,1956,0
4187000190,20141117T000000,417000,3,2.5,2000,4500,2,0,0,3,7,2000,0,2010,0
4012800050,20140521T000000,175000,3,1.75,1230,13056,1,0,0,4,7,1230,0,1962,0
461005435,20150202T000000,519000,3,1.75,2000,5680,1,0,0,4,7,1080,920,1903,0
3888100133,20141014T000000,360000,3,1,1160,10988,1,0,0,3,7,1160,0,1965,0
6414600232,20150420T000000,535000,3,2.25,2050,6648,1,0,0,3,7,1230,820,1990,0
8106300840,20140721T000000,485000,3,2.5,2870,5490,2,0,0,3,9,2870,0,2008,0
8651430370,20150425T000000,150000,3,1,1240,5200,1,0,0,3,6,1240,0,1969,0
3420069065,20140825T000000,360000,4,1.75,3730,16980,1,0,0,4,7,2150,1580,1974,0
7138000170,20150102T000000,147500,3,1.5,1230,10125,1,0,0,3,7,1230,0,1960,0
853200040,20150428T000000,2408000,5,2.5,4600,23250,1.5,0,2,3,9,3600,1000,1918,2003
2570600140,20150128T000000,196000,3,2.25,1510,9600,1,0,0,1,7,1090,420,1966,0
1489300215,20141013T000000,1210000,4,3.25,3330,9000,2,0,0,3,9,2870,460,2004,0
3904920380,20150323T000000,578550,3,2.5,2120,6602,2,0,0,4,8,2120,0,1989,0
3616600250,20140527T000000,1600000,3,3.25,3790,19000,2,0,4,3,10,3790,0,1985,0
1326059182,20150406T000000,1089000,5,3.25,5600,107157,2,0,0,3,10,3440,2160,1988,0
9828702336,20150220T000000,610000,2,2,1210,740,2,0,0,3,8,780,430,2014,0
2474400250,20140630T000000,327500,3,2.25,2310,7200,2,0,0,3,8,2310,0,1990,0
8943600020,20150426T000000,260000,3,2.25,1413,3403,2,0,0,3,8,1413,0,2009,0
7214710300,20140716T000000,542126,4,2.5,2360,43088,2,0,0,3,8,2360,0,1977,0
6163900952,20141218T000000,357500,3,1.75,1630,9403,1,0,0,3,7,1630,0,1983,0
7784400070,20140722T000000,585000,3,1.75,1740,9500,1,0,3,4,8,1150,590,1958,0
1326049170,20140924T000000,280000,3,1,1720,9605,1,0,0,3,7,860,860,1969,0
5003600120,20150415T000000,320000,4,2.5,2110,6295,2,0,0,3,8,2110,0,2000,0
3904910010,20140723T000000,480000,3,2.5,1640,7847,2,0,0,3,8,1640,0,1987,0
2013802030,20140911T000000,357000,3,2,2460,53882,1,1,4,3,7,2460,0,1955,0
